Player,Age,Tm,MP,RBS,AST,STL,BLK,TOV,PTS,FG_per,FT_perc
Mike Dunleavy,34,CHI,29.2,3.9,1.8,0.6,0.3,1,9.4,0.435,0.805
James Johnson,27,TOR,19.6,3.7,1.4,0.8,1,1.1,7.9,0.589,0.657
Joe Johnson,33,BRK,34.9,4.8,3.7,0.7,0.2,1.7,14.4,0.435,0.801
Tony Parker,32,SAS,28.7,1.9,4.9,0.6,0,2.1,14.4,0.486,0.783
Bismack Biyombo,22,CHO,19.4,6.4,0.3,0.3,1.5,0.8,4.8,0.543,0.583
Robert Covington,24,PHI,27.9,4.5,1.5,1.4,0.4,1.8,13.5,0.396,0.82
DeMar DeRozan,25,TOR,35,4.6,3.5,1.2,0.2,2.3,20.1,0.413,0.832
Ersan Ilyasova,27,MIL,22.7,4.8,1,0.6,0.3,0.8,11.5,0.472,0.645
Marcus Morris,25,PHO,25.2,4.8,1.6,0.8,0.2,0.9,10.4,0.434,0.628
Nerlens Noel,20,PHI,30.8,8.1,1.7,1.8,1.9,1.9,9.9,0.462,0.609
Marreese Speights,27,GSW,15.9,4.3,0.9,0.3,0.4,1.1,10.4,0.492,0.843
Tiago Splitter,30,SAS,19.8,4.8,1.5,0.7,0.7,1.2,8.2,0.558,0.75
Rodney Stuckey,28,IND,26.4,3.5,3.1,0.8,0.1,1.7,12.6,0.44,0.819
Jared Sullinger,22,BOS,27,7.6,2.3,0.8,0.7,1.3,13.3,0.439,0.744
C.J. Watson,30,IND,24.9,2.9,3.6,1,0.2,1.8,10,0.434,0.826
Aron Baynes,28,SAS,16,4.5,0.5,0.2,0.3,0.9,6.6,0.566,0.865
Jae Crowder,24,TOT,20.1,3.6,1.1,0.9,0.3,0.6,7.7,0.42,0.773
Danilo Gallinari,26,DEN,24.2,3.7,1.4,0.8,0.3,1,12.4,0.401,0.895
Darren Collison,27,SAC,34.8,3.2,5.6,1.5,0.3,2.5,16.1,0.473,0.788
Kris Humphries,29,WAS,21,6.5,0.9,0.5,0.4,0.7,8,0.473,0.744
Michael Kidd-Gilchrist,21,CHO,28.9,7.6,1.4,0.5,0.7,1.1,10.9,0.465,0.701
Cody Zeller,22,CHO,24,5.8,1.6,0.5,0.8,1,7.6,0.461,0.774
